level_0,Platform,Post ID,Post Type,Post Content,Post Timestamp,Date,Weekday Type,Time,Time Periods,Likes,Comments,Shares,Impressions,Reach, Engagement Rate ,Audience Age,Age Group,Audience Gender,Audience Location,Audience Continent,Audience Interests,Campaign ID,Sentiment,Influencer ID
118,Twitter,ffa6b89b-1dbc-46ea-aae2-c4e733739366,Video,Personal series entire event fly.,9/16/2021 16:03,9/16/2021 (Thursday),Weekday,16:03:44,Afternoon,2145,1833,1629,2797,3249,48.94,32,Mature Adults,Other,Latvia,Europe,sell,12fc57dd-fc70-48a6-ab4e-8319663e9436,Mixed,3dcec10c-c420-4b4b-af16-99f17ecc1ffb
119,Instagram,6fe0923d-343b-4c77-a097-117de012e0ba,Video,Huge thus range.,2/6/2024 10:51,2/6/2024 (Tuesday),Weekday,10:51:25,Morning,1749,1388,1443,3297,4224,23.26,43,Mature Adults,Female,Tuvalu,Oceania,how,,Mixed,
121,Facebook,ba45bbf2-c117-44a3-aa1b-dc7896f4c177,Link,Those the think price political media price better.,2/24/2024 11:06,2/24/2024 (Saturday),Weekend,11:06:38,Morning,205,275,316,1544,1385,16.54,40,Mature Adults,Male,Equatorial Guinea,Africa,ever,,Mixed,
123,Facebook,1eb99319-f552-47c8-8101-897f080909d9,Image,Force current manager budget could.,4/26/2022 19:18,4/26/2022 (Tuesday),Weekday,19:18:53,Evening,1180,1077,697,4491,5043,25.97,49,Senior Adults,Male,Kuwait,Asia,hundred,,Mixed,
130,Instagram,ab3fd675-861c-42bf-a501-f40ec81c8efc,Link,Environmental bad seem through management.,9/1/2023 6:23,9/1/2023 (Friday),Weekday,6:23:18,Morning,1147,763,710,4463,2089,55.07,49,Senior Adults,Male,Gabon,Africa,suddenly,,Mixed,
131,LinkedIn,2ccda7d0-efb1-45ed-9331-c97b5e0d6157,Video,Hotel already father care writer message newspaper.,9/15/2021 5:27,9/15/2021 (Wednesday),Weekday,5:27:32,Night,1454,1113,889,4805,2708,55.35,32,Mature Adults,Other,Angola,Africa,education,,Mixed,
132,Instagram,17e0366f-cb84-436a-8ffb-067c01696e7c,Link,His far after call treatment themselves.,3/25/2022 9:40,3/25/2022 (Friday),Weekday,9:40:58,Morning,1020,1028,632,3583,3387,31.58,36,Mature Adults,Female,Honduras,NorthAmerica,yet,,Mixed,a76b1b32-8ef6-41d0-baa5-055f837a137c
133,Instagram,895f46c2-76d0-46f8-a7ef-2e22ac8824fe,Link,Hotel career half according hour forget tough.,11/4/2022 19:03,11/4/2022 (Friday),Weekday,19:03:09,Evening,725,963,626,4140,4260,14.04,21,Adolescent Adults,Female,Bulgaria,Europe,energy,,Mixed,
134,LinkedIn,35046116-2c32-42d3-a6d5-deceb7ce238b,Link,Stage financial first.,1/17/2023 16:49,1/17/2023 (Tuesday),Weekday,16:49:22,Afternoon,1026,291,128,2146,1160,108.02,61,Senior Adults,Female,Puerto Rico,NorthAmerica,meet,489f0664-1ea8-495b-bd9f-0921ab9128e8,Mixed,
138,Facebook,da29884c-0009-4c11-9f02-62d6242b6135,Video,Series stuff detail wear occur generation kitchen.,12/4/2022 20:28,12/4/2022 (Sunday),Weekend,20:28:38,Evening,1416,1272,986,3212,3736,34.34,29,Adolescent Adults,Female,Kuwait,Asia,pattern,,Neutral,
139,LinkedIn,f1dfb139-2e3b-4597-bf6a-236301ebb02d,Video,Memory movement professor benefit though.,6/30/2023 10:24,6/30/2023 (Friday),Weekday,10:24:23,Morning,1595,1166,909,3922,3356,49.69,41,Mature Adults,Male,Serbia,Europe,professional,,Neutral,
144,LinkedIn,14b3da85-6a8f-4e8b-adca-f4d34cdb9e3a,Video,Minute too operation scientist easy owner conference.,1/31/2023 1:19,1/31/2023 (Tuesday),Weekday,1:19:30,Night,811,1142,958,4754,4683,13.16,26,Adolescent Adults,Other,Equatorial Guinea,Africa,bar,,Neutral,
147,Twitter,03fcc3aa-1484-4b14-9041-e0c3ca7ecda8,Image,Position candidate fact community wait live again.,12/25/2021 10:11,12/25/2021 (Saturday),Weekend,10:11:03,Morning,1332,1435,1371,3836,2581,18.58,18,Adolescent Adults,Other,Marshall Islands,Oceania,computer,2f224859-3018-4b0b-bd45-de3063048df8,Positive,ceaa1fb6-e570-4c8a-be55-caa07de09b78
152,Facebook,fc23deaf-c77a-4a4b-a343-7ee9b3621d83,Image,Adult woman that church research leave prepare.,2/8/2022 20:40,2/8/2022 (Tuesday),Weekday,20:40:48,Evening,1212,774,641,1952,1901,63.57,22,Adolescent Adults,Other,Maldives,Asia,claim,27e90630-93ee-458d-85aa-6ed4169e8520,Mixed,
154,Instagram,749f221b-6a03-4d67-b384-02c1cabf1ebf,Image,Church sound word word become animal right.,5/4/2022 7:30,5/4/2022 (Wednesday),Weekday,7:30:26,Morning,1079,1431,1045,2590,2295,42.86,36,Mature Adults,Female,China,Asia,option,,Positive,
155,Facebook,34a01fd8-4b4f-469a-b26e-a3db6ef4b5ef,Image,Candidate idea present main trouble stage act.,2/20/2023 18:06,2/20/2023 (Monday),Weekday,18:06:15,Evening,980,1034,676,3719,3690,28.8,29,Adolescent Adults,Male,Central African Republic,Africa,artist,,Positive,
157,LinkedIn,8f9178f2-c111-4b2c-a571-5f50b8cfb39c,Video,Tonight a enjoy contain mind answer exactly attack.,11/5/2023 5:11,11/5/2023 (Sunday),Weekend,5:11:53,Night,1514,889,982,2312,2294,65.93,37,Mature Adults,Male,Rwanda,Africa,teach,,Mixed,
158,Facebook,5d95b741-fc1c-4dad-987c-17b56108ca78,Video,Car together name office hand.,11/12/2023 4:40,11/12/2023 (Sunday),Weekend,4:40:11,Night,1470,950,948,3563,3029,31.38,25,Adolescent Adults,Female,Antarctica (the territory South of 60 deg S),Antarctica,sound,,Neutral,
160,Instagram,55ec9941-761f-42fd-b4e5-712710067a29,Video,Road police family war guy good necessary help.,11/23/2023 12:50,11/23/2023 (Thursday),Weekday,12:50:58,Afternoon,2104,1675,1488,3939,3122,75.03,18,Adolescent Adults,Female,Egypt,Africa,drug,,Neutral,99c9d22f-dbfd-4e22-a553-7142b49031ff
161,LinkedIn,cea3d114-12d4-438c-b841-ea490d5567ec,Image,Agreement argue activity recent.,12/18/2023 18:41,12/18/2023 (Monday),Weekday,18:41:20,Evening,654,502,580,2795,2907,9.8,41,Mature Adults,Male,Jersey,Europe,respond,0eb71d13-8f83-4b0e-abbf-fc9605bf82c5,Mixed,1b1d0b54-0bba-492d-ba74-68f1150ab3c4
163,Twitter,694727b9-ca86-480f-9262-2188d9d37b66,Link,Institution thing myself will once protect month wrong.,3/23/2021 20:26,3/23/2021 (Tuesday),Weekday,20:26:45,Evening,1261,1158,1037,4138,3635,27.64,55,Senior Adults,Other,Ireland,Europe,development,,Positive,632f3504-d7a1-42b0-890c-620840f0c7a8
166,LinkedIn,b364efd1-555f-427b-94b0-a6757889433d,Image,Else environmental dark.,8/27/2021 17:01,8/27/2021 (Friday),Weekday,17:01:55,Afternoon,931,694,611,2590,2212,42.99,28,Adolescent Adults,Male,Uzbekistan,Asia,might,,Positive,4e0fc7ed-f722-4759-8a67-8da18df46032
167,Instagram,3493b0b2-aebc-40f8-8bc6-9fcd2d5bfc86,Video,Necessary back program there media area point.,6/26/2023 8:57,6/26/2023 (Monday),Weekday,8:57:58,Morning,1477,1465,1346,1473,2359,36.64,18,Adolescent Adults,Female,Singapore,Asia,actually,,Positive,a7b9c334-5f79-450f-bcf1-869286624236
172,Twitter,3dc23886-ced8-42c7-8291-014ba1695264,Video,South home change until change worry provide.,12/17/2023 22:19,12/17/2023 (Sunday),Weekend,22:19:29,Night,2031,1892,1725,3778,4227,32.28,63,Senior Adults,Other,Libyan Arab Jamahiriya,Africa,phone,,Negative,38dc473f-9963-459c-911b-69846ab0e325
173,Instagram,a48154c5-b680-4f7d-9b57-3fae0b2a3658,Video,Pattern bed could draw.,2/23/2024 6:03,2/23/2024 (Friday),Weekday,6:03:16,Morning,1503,1444,1372,4554,5678,9.57,26,Adolescent Adults,Female,Vanuatu,Oceania,smile,,Mixed,
176,Facebook,99e72462-962e-4086-a65e-90899bcfb14d,Link,Budget team toward to.,9/4/2022 11:56,9/4/2022 (Sunday),Weekend,11:56:59,Morning,920,608,399,4246,2290,63.49,31,Mature Adults,Other,Egypt,Africa,population,,Neutral,
179,Twitter,159186c9-7f7b-41bf-9cec-de1377467484,Image,Almost feel others without type space challenge.,2/13/2023 19:09,2/13/2023 (Monday),Weekday,19:09:12,Evening,2252,1661,1330,3515,3738,55.09,41,Mature Adults,Male,Morocco,Africa,receive,f7fdcae4-8f3f-45f5-bbef-43eb41abfb6d,Positive,
180,Twitter,d9b04d8c-5bf1-4d22-8a33-9c85432ad59b,Link,Goal throughout fish positive continue seven trade myself.,3/8/2024 5:33,3/8/2024 (Friday),Weekday,5:33:33,Night,1199,950,908,4752,4109,11.12,24,Adolescent Adults,Other,Tonga,Oceania,fly,,Negative,
181,LinkedIn,770b2746-324e-4ecd-8827-9162dabb18b5,Image,Sing moment manager believe direction price less.,6/23/2022 2:24,6/23/2022 (Thursday),Weekday,2:24:23,Night,679,722,598,2986,2272,28.16,43,Mature Adults,Other,Norfolk Island,Oceania,bed,,Neutral,
183,Twitter,7de13014-e27e-4c70-9fa6-568e83b9195c,Video,During father traditional side.,7/20/2023 6:28,7/20/2023 (Thursday),Weekday,6:28:43,Morning,2459,1746,1756,4824,5878,27.14,34,Mature Adults,Male,Vietnam,Asia,meeting,,Mixed,
